Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x2MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
-1060222.875	-120770.961	-445312.500
311029.031	851466.563	-447265.625
1011354.688	625581.000	-449218.750
877361.438	-761323.125	-451171.875
1900898.125	1356565.125	-453125.000
2224363.000	1769326.250	-455078.125
246247.281	1611325.500	-457031.250
330755.188	1333853.000	-458984.375
-110019.273	860670.938	-460937.500
24918.797	2391024.750	-462890.625
666222.938	2070814.875	-464843.750
599089.313	394551.313	-466796.875
1064897.500	456355.313	-468750.000
1696835.500	651399.188	-470703.125
333758.094	-78693.148	-472656.250
1727684.625	-196146.563	-474609.375
1832515.625	527773.125	-476562.500
1056301.250	1643149.625	-478515.625
1135439.500	337552.781	-480468.750
1956408.000	-622478.188	-482421.875
1439486.125	1026451.563	-484375.000
1095625.375	2110816.000	-486328.125
312491.531	1974577.500	-488281.250
1745402.500	1994553.875	-490234.375
2055022.625	-883321.125	-492187.500
2477789.750	1029533.125	-494140.625
1151333.750	1842682.000	-496093.750
3785795.500	818075.625	-498046.875
