Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\export2\Spectrum-own_coil-45x474MHz_100000scans.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	usec
1625362.750	-324257.406	493.000
945703.125	2445555.000	494.000
-1391044.250	3205111.250	495.000
-4305298.000	1027246.688	496.000
2446334.250	4486113.500	497.000
2344773.000	-1086755.625	498.000
-6396637.500	1788393.250	499.000
-2003285.750	146993.359	500.000
-1155789.375	2704204.000	501.000
2131351.250	6702406.500	502.000
-388257.469	4360207.500	503.000
732449.125	-9856294.000	504.000
-8818207.000	-6397610.500	505.000
58354.164	-1172802.625	506.000
-2964075.000	420158.250	507.000
3692682.000	419202.844	508.000
3325823.000	-4148659.000	509.000
-6039597.500	5558594.000	510.000
1799270.625	-538064.125	511.000
