Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-own_coil-45x474MHz_32000scans.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	usec
250781.875	2087398.625	445.000
-2072804.000	820275.875	446.000
-128413.813	612148.688	447.000
-2087375.625	-3062552.500	448.000
568289.250	-1998772.750	449.000
671411.688	1408158.875	450.000
-404203.875	1106043.875	451.000
-685687.063	-2669353.250	452.000
982537.063	1496360.625	453.000
-1084022.750	788333.875	454.000
2965961.750	-314849.000	455.000
3895402.000	-1573463.500	456.000
1584612.875	-1481465.000	457.000
-1201245.875	-1241899.000	458.000
-3322586.500	-545799.750	459.000
-1524362.000	58255.125	460.000
-2661172.750	3106971.000	461.000
-480466.063	-1420385.625	462.000
-1306884.625	2090947.625	463.000
-1002269.375	-102128.930	464.000
-239152.266	1359180.250	465.000
800691.000	4257080.500	466.000
1948657.875	1618817.125	467.000
-1425676.125	-410323.813	468.000
-1767527.000	4632257.000	469.000
-2994423.250	189736.984	470.000
545773.125	-3294670.750	471.000
1091374.000	-2381471.500	472.000
717245.063	1277684.875	473.000
-2930182.000	-737903.500	474.000
541496.063	2905551.250	475.000
1848267.625	4151092.250	476.000
1601045.625	2289386.000	477.000
209821.828	-3568081.500	478.000
-5273366.500	-4815943.000	479.000
-993221.813	503131.031	480.000
-335529.594	-1960144.875	481.000
-49356.957	847701.938	482.000
1955489.750	337775.875	483.000
1316632.875	-326038.000	484.000
850074.188	-3524524.500	485.000
-6159163.000	3461710.500	486.000
2047835.625	4762269.500	487.000
12039.818	-2160206.750	488.000
-1329357.250	-4249770.500	489.000
29467.084	494934.750	490.000
-1094697.875	2147978.000	491.000
4281875.500	-1342142.000	492.000
-1113770.000	180740.828	493.000
1445825.000	792653.625	494.000
-1249805.250	-658622.938	495.000
-1546469.750	-2981207.750	496.000
1199729.000	-955490.750	497.000
1330234.125	-825109.250	498.000
-122395.234	-2871321.000	499.000
2463061.000	-957829.125	500.000
-3601522.000	1429592.750	501.000
3294485.500	853785.313	502.000
2013912.250	1595581.125	503.000
1573617.375	728216.125	504.000
-560997.938	1387034.000	505.000
-3604358.000	-2086448.750	506.000
-2818715.250	905498.625	507.000
1440732.000	2327604.000	508.000
-2676976.000	-1948432.375	509.000
649810.688	1791569.250	510.000
-3568414.750	-2242857.250	511.000
